epoch,w0,w1,w2,w3,wg0,wg1,wg2,wg3,loss,loss_kl,loss_mse
0.0000e+00,2.9116e+00,1.3905e+00,-2.8298e+00,2.5347e+00,4.4189e+01,5.4754e+01,-8.5107e+01,-1.7328e+01,3.6413e+02,1.1794e+01,3.5234e+02
1.0000e+00,2.8240e+00,1.2770e+00,-2.6518e+00,2.5448e+00,4.3787e+01,5.6730e+01,-8.9002e+01,-5.0747e+00,3.8258e+02,1.1014e+01,3.7157e+02
2.0000e+00,2.7458e+00,1.1980e+00,-2.4233e+00,2.4194e+00,3.9131e+01,3.9499e+01,-1.1427e+02,6.2685e+01,5.0964e+02,1.0213e+01,4.9943e+02
3.0000e+00,2.6749e+00,1.1432e+00,-2.2441e+00,2.4005e+00,3.5456e+01,2.7438e+01,-8.9590e+01,9.4512e+00,3.3600e+02,9.1130e+00,3.2689e+02
4.0000e+00,2.6043e+00,1.0858e+00,-2.0965e+00,2.4263e+00,3.5290e+01,2.8697e+01,-7.3797e+01,-1.2897e+01,2.5735e+02,8.4351e+00,2.4892e+02
5.0000e+00,2.5541e+00,1.0848e+00,-2.0224e+00,2.4915e+00,2.5092e+01,4.7537e-01,-3.7042e+01,-3.2607e+01,8.8533e+01,7.9486e+00,8.0584e+01
6.0000e+00,2.5146e+00,1.0993e+00,-1.8525e+00,2.4653e+00,1.9780e+01,-7.2588e+00,-8.4968e+01,1.3107e+01,2.4780e+02,7.7952e+00,2.4001e+02
7.0000e+00,2.4540e+00,1.0694e+00,-1.7624e+00,2.5221e+00,3.0259e+01,1.4983e+01,-4.5012e+01,-2.8384e+01,1.2996e+02,7.3204e+00,1.2264e+02
8.0000e+00,2.4005e+00,1.0564e+00,-1.5511e+00,2.3743e+00,2.6774e+01,6.5061e+00,-1.0565e+02,7.3878e+01,3.9398e+02,7.1073e+00,3.8687e+02
9.0000e+00,2.3452e+00,1.0372e+00,-1.3178e+00,2.1264e+00,2.7625e+01,9.5625e+00,-1.1668e+02,1.2396e+02,4.7385e+02,6.3307e+00,4.6752e+02
1.0000e+01,2.3004e+00,1.0395e+00,-1.2140e+00,2.1614e+00,2.2433e+01,-1.1287e+00,-5.1881e+01,-1.7504e+01,1.1923e+02,5.4245e+00,1.1381e+02
1.1000e+01,2.2585e+00,1.0455e+00,-9.6381e-01,1.7922e+00,2.0955e+01,-3.0054e+00,-1.2510e+02,1.8460e+02,5.1413e+02,5.2467e+00,5.0888e+02
1.2000e+01,2.2123e+00,1.0431e+00,-8.6688e-01,1.8226e+00,2.3080e+01,1.2171e+00,-4.8463e+01,-1.5184e+01,1.1127e+02,4.3521e+00,1.0692e+02
1.3000e+01,2.1757e+00,1.0541e+00,-7.8163e-01,1.8582e+00,1.8289e+01,-5.5422e+00,-4.2624e+01,-1.7811e+01,8.0508e+01,4.1969e+00,7.6311e+01
1.4000e+01,2.1295e+00,1.0494e+00,-7.1501e-01,1.8988e+00,2.3107e+01,2.3861e+00,-3.3309e+01,-2.0305e+01,7.3953e+01,4.0970e+00,6.9856e+01
1.5000e+01,2.0767e+00,1.0280e+00,-6.6529e-01,1.9373e+00,2.6382e+01,1.0674e+01,-2.4862e+01,-1.9212e+01,7.1518e+01,3.9992e+00,6.7519e+01
1.6000e+01,2.0444e+00,1.0407e+00,-3.9565e-01,1.3765e+00,1.6179e+01,-6.3516e+00,-1.3482e+02,2.8038e+02,5.8315e+02,3.8971e+00,5.7925e+02
1.7000e+01,2.0007e+00,1.0375e+00,-2.6822e-01,1.3262e+00,2.1825e+01,1.6163e+00,-6.3717e+01,2.5166e+01,1.6127e+02,3.0866e+00,1.5819e+02
1.8000e+01,1.9725e+00,1.0516e+00,-1.9115e-01,1.3505e+00,1.4133e+01,-7.0646e+00,-3.8535e+01,-1.2168e+01,6.1226e+01,2.9167e+00,5.8310e+01
1.9000e+01,1.9246e+00,1.0377e+00,-8.4279e-02,1.3304e+00,2.3929e+01,6.9860e+00,-5.3436e+01,1.0040e+01,1.3192e+02,2.8671e+00,1.2905e+02
2.0000e+01,1.9077e+00,1.0510e+00,1.4798e-02,1.3181e+00,8.4745e+00,-6.6927e+00,-4.9538e+01,6.1603e+00,8.3025e+01,2.7380e+00,8.0287e+01
2.1000e+01,1.8590e+00,1.0333e+00,5.5314e-02,1.3477e+00,2.4335e+01,8.8894e+00,-2.0258e+01,-1.4783e+01,5.7742e+01,2.6991e+00,5.5042e+01
2.2000e+01,1.8406e+00,1.0468e+00,1.4015e-01,1.3495e+00,9.1984e+00,-6.7688e+00,-4.2421e+01,-9.4482e-01,6.3776e+01,2.6227e+00,6.1153e+01
2.3000e+01,1.8011e+00,1.0460e+00,2.9588e-01,1.1736e+00,1.9729e+01,4.1263e-01,-7.7860e+01,8.7995e+01,2.1968e+02,2.6044e+00,2.1708e+02
2.4000e+01,1.7790e+00,1.0593e+00,3.2662e-01,1.1975e+00,1.1076e+01,-6.6845e+00,-1.5374e+01,-1.1986e+01,1.7575e+01,2.4496e+00,1.5125e+01
2.5000e+01,1.7443e+00,1.0641e+00,3.8079e-01,1.2179e+00,1.7318e+01,-2.3769e+00,-2.7085e+01,-1.0203e+01,4.6324e+01,2.4396e+00,4.3884e+01
2.6000e+01,1.7430e+00,1.0596e+00,5.2059e-01,1.0710e+00,6.8323e-01,2.2427e+00,-6.9900e+01,7.3464e+01,1.5715e+02,2.4123e+00,1.5473e+02
2.7000e+01,1.7155e+00,1.0704e+00,6.0814e-01,1.0459e+00,1.3732e+01,-5.3729e+00,-4.3773e+01,1.2539e+01,7.5964e+01,2.3909e+00,7.3573e+01
2.8000e+01,1.6601e+00,1.0275e+00,7.2167e-01,9.5649e-01,2.7731e+01,2.1416e+01,-5.6766e+01,4.4718e+01,1.6194e+02,2.3863e+00,1.5955e+02
2.9000e+01,1.6156e+00,1.0126e+00,8.2568e-01,8.8280e-01,2.2203e+01,7.4568e+00,-5.2005e+01,3.6849e+01,1.2464e+02,2.3127e+00,1.2233e+02
3.0000e+01,1.5826e+00,1.0163e+00,9.5416e-01,7.2471e-01,1.6524e+01,-1.8621e+00,-6.4238e+01,7.9043e+01,1.5338e+02,2.2900e+00,1.5109e+02
3.1000e+01,1.5442e+00,1.0113e+00,9.8930e-01,7.3950e-01,1.9221e+01,2.4967e+00,-1.7573e+01,-7.3967e+00,3.9252e+01,2.3179e+00,3.6935e+01
3.2000e+01,1.4902e+00,9.6688e-01,1.0282e+00,7.5196e-01,2.6958e+01,2.2229e+01,-1.9468e+01,-6.2268e+00,6.9477e+01,2.2922e+00,6.7184e+01
3.3000e+01,1.4605e+00,9.7224e-01,1.0352e+00,7.5958e-01,1.4866e+01,-2.6761e+00,-3.4893e+00,-3.8125e+00,1.8063e+01,2.2343e+00,1.5829e+01
3.4000e+01,1.4380e+00,9.8216e-01,1.1240e+00,7.0040e-01,1.1271e+01,-4.9624e+00,-4.4410e+01,2.9593e+01,7.5044e+01,2.2010e+00,7.2843e+01
3.5000e+01,1.4112e+00,9.8928e-01,1.1492e+00,7.1356e-01,1.3390e+01,-3.5620e+00,-1.2568e+01,-6.5819e+00,2.0305e+01,2.2587e+00,1.8046e+01
3.6000e+01,1.3555e+00,9.3394e-01,1.1558e+00,7.2063e-01,2.7837e+01,2.7671e+01,-3.3336e+00,-3.5360e+00,6.1358e+01,2.2537e+00,5.9104e+01
3.7000e+01,1.3261e+00,9.3740e-01,1.2012e+00,7.2444e-01,1.4715e+01,-1.7312e+00,-2.2694e+01,-1.9042e+00,3.5097e+01,2.1651e+00,3.2932e+01
3.8000e+01,1.2878e+00,9.2655e-01,1.2215e+00,7.3614e-01,1.9165e+01,5.4261e+00,-1.0141e+01,-5.8479e+00,3.3004e+01,2.1809e+00,3.0823e+01
3.9000e+01,1.2430e+00,9.0000e-01,1.3205e+00,6.3836e-01,2.2363e+01,1.3278e+01,-4.9496e+01,4.8887e+01,1.1984e+02,2.1536e+00,1.1768e+02
4.0000e+01,1.1947e+00,8.6173e-01,1.3395e+00,6.4877e-01,2.4168e+01,1.9133e+01,-9.5205e+00,-5.2049e+00,4.9956e+01,2.2024e+00,4.7753e+01
4.1000e+01,1.1595e+00,8.5376e-01,1.4395e+00,5.3781e-01,1.7576e+01,3.9836e+00,-4.9978e+01,5.5483e+01,1.0710e+02,2.1585e+00,1.0494e+02
4.2000e+01,1.1112e+00,8.1222e-01,1.4662e+00,5.4576e-01,2.4189e+01,2.0771e+01,-1.3369e+01,-3.9793e+00,5.3579e+01,2.2492e+00,5.1330e+01
4.3000e+01,1.0540e+00,7.3666e-01,1.5723e+00,4.0229e-01,2.8603e+01,3.7781e+01,-5.3049e+01,7.1736e+01,1.5836e+02,2.2228e+00,1.5614e+02
4.4000e+01,1.0322e+00,7.4294e-01,1.6493e+00,3.3499e-01,1.0877e+01,-3.1425e+00,-3.8479e+01,3.3649e+01,6.0767e+01,2.3148e+00,5.8452e+01
4.5000e+01,1.0133e+00,7.5039e-01,1.7042e+00,3.0900e-01,9.4715e+00,-3.7218e+00,-2.7446e+01,1.2998e+01,3.5098e+01,2.4260e+00,3.2672e+01
4.6000e+01,9.8725e-01,7.5232e-01,1.7562e+00,2.8525e-01,1.3002e+01,-9.6775e-01,-2.6023e+01,1.1873e+01,3.8790e+01,2.5043e+00,3.6286e+01
4.7000e+01,9.4406e-01,7.1990e-01,1.7648e+00,2.9099e-01,2.1596e+01,1.6210e+01,-4.3038e+00,-2.8682e+00,3.9398e+01,2.5730e+00,3.6825e+01
4.8000e+01,9.2283e-01,7.2516e-01,1.7907e+00,2.9345e-01,1.0613e+01,-2.6299e+00,-1.2941e+01,-1.2330e+00,1.7372e+01,2.5401e+00,1.4832e+01
4.9000e+01,8.6545e-01,6.3931e-01,1.8437e+00,2.6458e-01,2.8691e+01,4.2925e+01,-2.6478e+01,1.4437e+01,9.2079e+01,2.5666e+00,8.9512e+01
5.0000e+01,8.4241e-01,6.4222e-01,1.8911e+00,2.4249e-01,1.1521e+01,-1.4551e+00,-2.3685e+01,1.1044e+01,3.2718e+01,2.6072e+00,3.0111e+01
5.1000e+01,7.9487e-01,5.9032e-01,1.9498e+00,1.9796e-01,2.3768e+01,2.5952e+01,-2.9364e+01,2.2265e+01,7.7289e+01,2.6810e+00,7.4608e+01
5.2000e+01,7.7206e-01,5.9250e-01,1.9980e+00,1.7007e-01,1.1406e+01,-1.0911e+00,-2.4124e+01,1.3946e+01,3.3674e+01,2.7622e+00,3.0912e+01
5.3000e+01,7.4897e-01,5.9405e-01,2.0185e+00,1.7106e-01,1.1545e+01,-7.7217e-01,-1.0241e+01,-4.9447e-01,1.7481e+01,2.8469e+00,1.4635e+01
5.4000e+01,7.4626e-01,5.9531e-01,2.0499e+00,1.6336e-01,1.3536e+00,-6.3293e-01,-1.5681e+01,3.8477e+00,1.2973e+01,2.8703e+00,1.0103e+01
5.5000e+01,7.1056e-01,5.7474e-01,2.0534e+00,1.6657e-01,1.7854e+01,1.0284e+01,-1.7585e+00,-1.6014e+00,2.8061e+01,2.9342e+00,2.5127e+01
5.6000e+01,7.0538e-01,5.7832e-01,2.0919e+00,1.4945e-01,2.5868e+00,-1.7862e+00,-1.9267e+01,8.5585e+00,1.7695e+01,2.9138e+00,1.4781e+01
5.7000e+01,6.9776e-01,5.8344e-01,2.0594e+00,1.1865e-01,3.8128e+00,-2.5609e+00,1.6285e+01,1.5397e+01,1.0378e+01,2.9949e+00,7.3828e+00
5.8000e+01,6.9116e-01,5.8795e-01,2.0593e+00,1.2098e-01,3.2981e+00,-2.2560e+00,3.2824e-02,-1.1614e+00,3.9056e+00,2.9311e+00,9.7451e-01
5.9000e+01,6.6728e-01,5.8732e-01,2.0790e+00,1.2133e-01,1.1942e+01,3.1567e-01,-9.8629e+00,-1.7581e-01,1.8200e+01,2.9258e+00,1.5274e+01
6.0000e+01,6.2529e-01,5.4726e-01,2.1300e+00,8.2682e-02,2.0991e+01,2.0031e+01,-2.5507e+01,1.9323e+01,6.1433e+01,2.9503e+00,5.8483e+01
6.1000e+01,6.1368e-01,5.5317e-01,2.1532e+00,7.9458e-02,5.8078e+00,-2.9587e+00,-1.1608e+01,1.6123e+00,1.1460e+01,3.0418e+00,8.4184e+00
6.2000e+01,5.9944e-01,5.5868e-01,2.1475e+00,7.9427e-02,7.1180e+00,-2.7534e+00,2.8632e+00,1.5193e-02,6.9094e+00,3.0854e+00,3.8240e+00
6.3000e+01,5.6493e-01,5.3701e-01,2.1709e+00,7.5711e-02,1.7257e+01,1.0833e+01,-1.1689e+01,1.8582e+00,3.2452e+01,3.0645e+00,2.9388e+01
6.4000e+01,5.3411e-01,5.2265e-01,2.1895e+00,7.4781e-02,1.5410e+01,7.1807e+00,-9.2894e+00,4.6484e-01,2.5847e+01,3.0960e+00,2.2751e+01
6.5000e+01,4.9839e-01,4.9608e-01,2.1849e+00,7.5367e-02,1.7858e+01,1.3286e+01,2.2754e+00,-2.9317e-01,2.8412e+01,3.1200e+00,2.5291e+01
6.6000e+01,4.7352e-01,4.9086e-01,2.1930e+00,7.7935e-02,1.2436e+01,2.6112e+00,-4.0167e+00,-1.2837e+00,1.6451e+01,3.0921e+00,1.3359e+01
6.7000e+01,4.5362e-01,4.9141e-01,2.1764e+00,7.0128e-02,9.9510e+00,-2.7316e-01,8.2972e+00,3.9035e+00,1.2029e+01,3.0970e+00,8.9323e+00
6.8000e+01,4.3299e-01,4.9091e-01,2.1580e+00,6.0340e-02,1.0316e+01,2.4858e-01,9.1809e+00,4.8938e+00,1.2975e+01,3.0541e+00,9.9212e+00
6.9000e+01,4.1075e-01,4.8820e-01,2.1793e+00,5.7908e-02,1.1120e+01,1.3551e+00,-1.0670e+01,1.2161e+00,1.7952e+01,3.0084e+00,1.4944e+01
7.0000e+01,3.7372e-01,4.5435e-01,2.1890e+00,6.0312e-02,1.8515e+01,1.6925e+01,-4.8137e+00,-1.2019e+00,3.2170e+01,3.0463e+00,2.9123e+01
7.1000e+01,3.6166e-01,4.5869e-01,2.1969e+00,6.2875e-02,6.0312e+00,-2.1727e+00,-3.9867e+00,-1.2815e+00,7.1956e+00,3.0538e+00,4.1418e+00
7.2000e+01,3.2941e-01,4.3599e-01,2.2267e+00,5.2003e-02,1.6126e+01,1.1352e+01,-1.4886e+01,5.4361e+00,3.3177e+01,3.0657e+00,3.0111e+01
7.3000e+01,3.1103e-01,4.3612e-01,2.2048e+00,3.8863e-02,9.1887e+00,-6.6719e-02,1.0969e+01,6.5698e+00,1.2338e+01,3.1258e+00,9.2119e+00
7.4000e+01,2.9601e-01,4.3868e-01,2.2087e+00,4.1498e-02,7.5096e+00,-1.2781e+00,-1.9554e+00,-1.3176e+00,8.2177e+00,3.0759e+00,5.1419e+00
7.5000e+01,2.7371e-01,4.3365e-01,2.2106e+00,4.3928e-02,1.1149e+01,2.5157e+00,-9.4383e-01,-1.2148e+00,1.3488e+01,3.0788e+00,1.0409e+01
7.6000e+01,2.5814e-01,4.3544e-01,2.1902e+00,3.2317e-02,7.7827e+00,-8.9761e-01,1.0201e+01,5.8052e+00,1.0053e+01,3.0762e+00,6.9765e+00
7.7000e+01,2.3113e-01,4.2175e-01,2.2361e+00,-2.0419e-03,1.3505e+01,6.8484e+00,-2.2969e+01,1.7180e+01,3.7718e+01,3.0311e+00,3.4687e+01
7.8000e+01,1.8889e-01,3.6454e-01,2.2634e+00,-1.1376e-02,2.1122e+01,2.8601e+01,-1.3654e+01,4.6672e+00,4.7683e+01,3.1399e+00,4.4543e+01
7.9000e+01,1.6395e-01,3.5322e-01,2.2562e+00,-1.1817e-02,1.2468e+01,5.6593e+00,3.6253e+00,2.2049e-01,1.6109e+01,3.2025e+00,1.2906e+01
8.0000e+01,1.4216e-01,3.4667e-01,2.2495e+00,-1.1971e-02,1.0896e+01,3.2767e+00,3.3138e+00,7.6839e-02,1.3100e+01,3.1835e+00,9.9162e+00
8.1000e+01,1.3272e-01,3.5015e-01,2.2343e+00,-1.8033e-02,4.7222e+00,-1.7412e+00,7.6335e+00,3.0309e+00,6.1029e+00,3.1663e+00,2.9366e+00
8.2000e+01,1.2585e-01,3.5363e-01,2.2627e+00,-2.8510e-02,3.4331e+00,-1.7393e+00,-1.4206e+01,5.2388e+00,1.2769e+01,3.1325e+00,9.6367e+00
8.3000e+01,1.0771e-01,3.5130e-01,2.2788e+00,-2.9505e-02,9.0702e+00,1.1646e+00,-8.0624e+00,4.9746e-01,1.3480e+01,3.1991e+00,1.0281e+01
8.4000e+01,9.3441e-02,3.5235e-01,2.2426e+00,-6.3170e-02,7.1341e+00,-5.2333e-01,1.8100e+01,1.6832e+01,1.5453e+01,3.2343e+00,1.2219e+01
8.5000e+01,7.6952e-02,3.5133e-01,2.2480e+00,-6.0627e-02,8.2446e+00,5.0821e-01,-2.6943e+00,-1.2711e+00,9.7455e+00,3.1644e+00,6.5811e+00
8.6000e+01,5.6882e-02,3.4583e-01,2.2587e+00,-5.9057e-02,1.0035e+01,2.7521e+00,-5.3288e+00,-7.8534e-01,1.3515e+01,3.1742e+00,1.0340e+01
8.7000e+01,3.2465e-02,3.3282e-01,2.2896e+00,-7.3160e-02,1.2209e+01,6.5069e+00,-1.5455e+01,7.0517e+00,2.5591e+01,3.1971e+00,2.2394e+01
8.8000e+01,2.0468e-02,3.3459e-01,2.3199e+00,-8.7469e-02,5.9982e+00,-8.8501e-01,-1.5173e+01,7.1546e+00,1.6052e+01,3.2741e+00,1.2778e+01
8.9000e+01,1.3161e-02,3.3761e-01,2.3420e+00,-9.3768e-02,3.6538e+00,-1.5119e+00,-1.1022e+01,3.1493e+00,1.0295e+01,3.3494e+00,6.9452e+00
9.0000e+01,-4.0762e-03,3.3475e-01,2.3508e+00,-9.2676e-02,8.6184e+00,1.4305e+00,-4.4392e+00,-5.4576e-01,1.1293e+01,3.4029e+00,7.8905e+00
9.1000e+01,-6.9925e-03,3.3681e-01,2.3817e+00,-1.0941e-01,1.4581e+00,-1.0309e+00,-1.5422e+01,8.3667e+00,1.3756e+01,3.4236e+00,1.0332e+01
9.2000e+01,-3.8588e-02,3.0560e-01,2.3735e+00,-1.0984e-01,1.5798e+01,1.5604e+01,4.0986e+00,2.1706e-01,2.4695e+01,3.5035e+00,2.1191e+01
9.3000e+01,-4.3546e-02,3.0828e-01,2.3988e+00,-1.2063e-01,2.4787e+00,-1.3377e+00,-1.2673e+01,5.3930e+00,1.1376e+01,3.4901e+00,7.8858e+00
9.4000e+01,-7.1116e-02,2.8629e-01,2.3843e+00,-1.2472e-01,1.3785e+01,1.0994e+01,7.2422e+00,2.0440e+00,2.0507e+01,3.5551e+00,1.6952e+01
9.5000e+01,-7.8588e-02,2.8892e-01,2.4068e+00,-1.3283e-01,3.7362e+00,-1.3184e+00,-1.1233e+01,4.0558e+00,1.0813e+01,3.5279e+00,7.2852e+00
9.6000e+01,-8.7400e-02,2.9123e-01,2.4358e+00,-1.4883e-01,4.4060e+00,-1.1523e+00,-1.4493e+01,8.0018e+00,1.4469e+01,3.5854e+00,1.0884e+01
